"","Parameter","Taxa","p.adj","Stations","tukeyP"
"1","Magnitude","Temora",0.00142074144188269,"BY15-BY31",0.00085301315702957
"2","Magnitude","Temora",0.00142074144188269,"BY5-BY31",0.312954858992058
"3","Magnitude","Temora",0.00142074144188269,"BY5-BY15",0.0456003842391729
"4","Magnitude","Synchaeta",0.00120408980635699,"BY15-BY31",0.100222799355401
"5","Magnitude","Synchaeta",0.00120408980635699,"BY5-BY31",0.000502616222866847
"6","Magnitude","Synchaeta",0.00120408980635699,"BY5-BY15",0.122092673164362
"7","Magnitude","Pseudocalanus",0.00101953645898505,"BY15-BY31",0.199292833470905
"8","Magnitude","Pseudocalanus",0.00101953645898505,"BY5-BY31",0.000319299277908858
"9","Magnitude","Pseudocalanus",0.00101953645898505,"BY5-BY15",0.0407765920155913
"10","Magnitude","Copepoda",0.00101953645898505,"BY15-BY31",0.000194087758403572
"11","Magnitude","Copepoda",0.00101953645898505,"BY5-BY31",0.00784605526903004
"12","Magnitude","Copepoda",0.00101953645898505,"BY5-BY15",0.427092222669923
"13","Magnitude","Centropages",0.00101953645898505,"BY15-BY31",0.000702048470455519
"14","Magnitude","Centropages",0.00101953645898505,"BY5-BY31",0.00572973850338476
"15","Magnitude","Centropages",0.00101953645898505,"BY5-BY15",0.750537551025063
"16","Magnitude","Acartia",0.499240611776738,NA,NA
"17","Timing","Temora",0.108791928110445,NA,NA
"18","Timing","Synchaeta",0.603437846169136,NA,NA
"19","Timing","Pseudocalanus",0.0921870995470188,NA,NA
"20","Timing","Copepoda",0.0248463263100267,"BY15-BY31",0.235869400118289
"21","Timing","Copepoda",0.0248463263100267,"BY5-BY31",0.00281071514867492
"22","Timing","Copepoda",0.0248463263100267,"BY5-BY15",0.154911624135373
"23","Timing","Centropages",0.0921870995470188,"BY15-BY31",0.292823041790812
"24","Timing","Centropages",0.0921870995470188,"BY5-BY31",0.0396054953952246
"25","Timing","Centropages",0.0921870995470188,"BY5-BY15",0.573431604500571
"26","Timing","Acartia",0.0278486872330665,"BY15-BY31",0.0909325290701919
"27","Timing","Acartia",0.0278486872330665,"BY5-BY31",0.00784088871104016
"28","Timing","Acartia",0.0278486872330665,"BY5-BY15",0.571990717385481
"29","Magnitude","Summer bloom",0.000237571702595657,"BY15-BY31",0.537758579497678
"30","Magnitude","Summer bloom",0.000237571702595657,"BY5-BY31",0.00296659912445751
"31","Magnitude","Summer bloom",0.000237571702595657,"BY5-BY15",0.000116233271935551
"32","Magnitude","Spring Diatoms",1.28832213122397e-05,"BY15-BY31",2.35791060188006e-06
"33","Magnitude","Spring Diatoms",1.28832213122397e-05,"BY5-BY31",0.0954338082604095
"34","Magnitude","Spring Diatoms",1.28832213122397e-05,"BY5-BY15",0.00255394100223627
"35","Magnitude","Spring bloom",0.00114638564849104,"BY15-BY31",0.0146265634970137
"36","Magnitude","Spring bloom",0.00114638564849104,"BY5-BY31",0.000609639801874451
"37","Magnitude","Spring bloom",0.00114638564849104,"BY5-BY15",0.506172319570984
"38","Magnitude","Mesodinium",0.236433373673774,NA,NA
"39","Magnitude","Dinoflagellates",6.65080279601482e-07,"BY15-BY31",0.0112355101958014
"40","Magnitude","Dinoflagellates",6.65080279601482e-07,"BY5-BY31",4.93659559896997e-08
"41","Magnitude","Dinoflagellates",6.65080279601482e-07,"BY5-BY15",0.000905853632340303
"42","Magnitude","Cyanobacteria",0.00126208559264466,"BY15-BY31",0.835013742590999
"43","Magnitude","Cyanobacteria",0.00126208559264466,"BY5-BY31",0.00700323652872992
"44","Magnitude","Cyanobacteria",0.00126208559264466,"BY5-BY15",0.00137263818869138
"45","Timing","Summer bloom",0.207846527981697,NA,NA
"46","Timing","Spring Diatoms",0.471007962043478,NA,NA
"47","Timing","Spring bloom",0.354327431865782,NA,NA
"48","Timing","Mesodinium",0.0763240917078565,"BY15-BY31",0.866449425705551
"49","Timing","Mesodinium",0.0763240917078565,"BY5-BY31",0.024799442830305
"50","Timing","Mesodinium",0.0763240917078565,"BY5-BY15",0.0804094938803512
"51","Timing","Dinoflagellates",0.683399906276655,NA,NA
"52","Timing","Cyanobacteria",0.354327431865782,NA,NA
